Quiz Name,Score,Total Questions,Date Taken,Data Source
Information Technology,8,10,2025-06-25 14:23,Local Database
Geography,5,10,2025-06-25 14:22,Local Database
History,7,10,2025-06-25 14:22,Local Database
Geometry,7,10,2025-06-25 14:22,Local Database
Algebra,9,10,2025-06-25 14:22,Local Database
Chemistry,9,10,2025-06-25 14:21,Local Database
Physics,4,10,2025-06-25 14:20,Local Database
Biology,10,10,2025-06-25 14:20,Local Database
English,7,10,2025-06-25 14:19,Local Database
